iter	Passed	Remaining
306	758	1711
307	760	1707
308	762	1704
309	764	1701
310	767	1700
311	769	1697
312	771	1692
313	772	1688
314	774	1684
315	776	1680
316	778	1676
317	779	1672
318	781	1668
319	783	1664
320	785	1660
321	786	1656
322	788	1652
323	790	1648
324	792	1645
325	793	1641
326	795	1637
327	797	1634
328	799	1631
329	801	1627
330	803	1623
331	804	1619
332	806	1615
333	808	1611
334	810	1608
335	811	1604
336	813	1601
337	815	1597
338	817	1593
339	819	1589
340	820	1585
341	822	1582
342	824	1578
343	825	1574
344	827	1570
345	829	1568
346	831	1565
347	833	1561
348	835	1557
349	836	1554
350	838	1550
351	840	1546
352	841	1542
353	843	1539
354	845	1536
355	847	1533
356	849	1529
357	850	1525
358	852	1522
359	854	1518
360	856	1515
361	857	1511
362	859	1508
363	861	1506
364	863	1502
365	865	1499
366	867	1496
367	869	1493
368	871	1490
369	873	1486
370	875	1483
371	877	1481
372	879	1478
373	881	1475
374	883	1472
375	885	1469
376	886	1465
377	888	1462
378	890	1459
379	893	1457
380	895	1454
381	897	1451
382	899	1449
383	901	1445
384	902	1442
385	904	1438
386	906	1435
387	909	1433
388	911	1431
389	913	1428
390	915	1426
391	917	1423
392	919	1420
393	922	1418
394	925	1416
395	927	1414
396	929	1412
397	931	1409
398	933	1405
399	935	1402
400	937	1399
401	939	1397
402	941	1394
403	943	1391
404	945	1388
405	946	1385
406	948	1382
407	950	1378
408	951	1375
409	953	1372
410	955	1369
411	957	1366
412	959	1363
413	960	1360
414	962	1356
415	964	1353
416	965	1350
417	967	1347
418	969	1343
419	971	1341
420	973	1338
421	975	1335
422	976	1332
423	978	1329
424	979	1325
425	981	1322
426	983	1319
427	985	1316
428	987	1314
429	989	1311
430	991	1308
431	992	1305
432	994	1302
433	996	1299
434	997	1295
435	999	1292
436	1001	1289
437	1003	1287
438	1005	1284
439	1006	1281
440	1008	1278
441	1010	1275
442	1012	1272
443	1013	1269
444	1015	1266
445	1017	1263
446	1019	1260
447	1020	1257
448	1022	1254
449	1023	1251
450	1025	1248
451	1027	1245
452	1028	1242
453	1030	1239
454	1032	1236
455	1034	1234
456	1036	1231
457	1038	1228
458	1040	1225
459	1041	1222
460	1043	1219
461	1045	1216
462	1046	1214
463	1048	1211
464	1051	1209
465	1052	1206
466	1054	1203
467	1056	1200
468	1057	1197
469	1059	1194
470	1061	1192
471	1063	1189
472	1064	1186
473	1067	1184
474	1069	1181
475	1070	1178
476	1072	1176
477	1074	1173
478	1075	1170
479	1077	1167
480	1079	1164
481	1081	1162
482	1083	1159
483	1085	1156
484	1086	1153
485	1088	1150
486	1089	1147
487	1091	1145
488	1093	1142
489	1094	1139
490	1096	1136
491	1098	1134
492	1100	1131
493	1102	1129
494	1103	1126
495	1105	1123
496	1107	1120
497	1108	1117
498	1110	1115
499	1112	1112
500	1114	1110
501	1116	1107
502	1118	1104
503	1119	1102
504	1121	1099
505	1123	1096
506	1125	1093
507	1126	1091
508	1128	1088
509	1130	1086
510	1132	1083
511	1133	1080
512	1135	1078
513	1137	1075
514	1139	1073
515	1141	1070
516	1143	1068
517	1145	1066
518	1147	1063
519	1149	1060
520	1151	1058
521	1153	1056
522	1155	1053
523	1156	1050
524	1158	1048
525	1160	1045
526	1162	1043
527	1163	1040
528	1165	1037
529	1167	1035
530	1169	1032
531	1171	1030
532	1172	1027
533	1174	1024
534	1176	1022
535	1178	1020
536	1180	1018
537	1183	1016
538	1185	1013
539	1187	1011
540	1189	1008
541	1191	1006
542	1194	1004
543	1196	1002
544	1198	1000
545	1199	997
546	1201	994
547	1203	992
548	1204	989
549	1206	987
550	1208	984
551	1210	982
552	1212	979
553	1213	977
554	1215	974
555	1217	972
556	1219	969
557	1220	966
558	1222	964
559	1224	962
560	1226	959
561	1228	957
562	1229	954
563	1231	952
564	1233	949
565	1234	946
566	1236	944
567	1238	941
568	1240	939
569	1242	937
570	1243	934
571	1245	932
572	1247	929
573	1248	926
574	1250	924
575	1252	921
576	1254	919
577	1256	917
578	1257	914
579	1259	912
580	1261	909
581	1263	907
582	1264	904
583	1266	902
584	1268	899
585	1270	897
586	1272	895
587	1274	893
588	1276	890
589	1278	888
590	1279	885
591	1281	883
592	1283	880
593	1284	878
594	1286	875
595	1289	873
596	1291	871
597	1292	869
598	1294	866
599	1296	864
600	1297	861
601	1299	859
602	1301	856
603	1303	854
604	1305	852
605	1306	849
606	1308	847
607	1310	844
608	1311	842
609	1313	839
610	1315	837
611	1316	834
612	1318	832
613	1320	830
614	1322	827
615	1323	825
616	1325	822
617	1327	820
618	1328	817
619	1330	815
620	1332	813
621	1333	810
622	1336	808
623	1337	806
624	1339	803
625	1341	801
626	1342	798
627	1344	796
628	1346	794
629	1348	791
630	1349	789
631	1351	787
632	1353	784
633	1355	782
634	1356	779
635	1358	777
636	1360	775
637	1361	772
638	1363	770
639	1365	767
640	1367	765
641	1369	763
642	1370	761
643	1372	758
644	1374	756
645	1376	754
646	1377	751
647	1379	749
648	1381	746
649	1383	745
650	1385	742
651	1387	740
652	1388	738
653	1390	735
654	1392	733
655	1394	731
656	1395	728
657	1397	726
658	1399	724
659	1402	722
660	1404	720
661	1405	717
662	1407	715
663	1409	713
664	1411	710
665	1412	708
666	1414	706
667	1416	704
668	1418	701
669	1420	699
670	1421	697
671	1423	694
672	1424	692
673	1426	689
674	1428	687
675	1430	685
676	1432	683
677	1433	681
678	1435	678
679	1437	676
680	1439	674
681	1440	671
682	1442	669
683	1444	667
684	1446	665
685	1448	662
686	1450	660
687	1451	658
688	1453	656
689	1455	653
690	1457	651
691	1458	649
692	1460	646
693	1462	644
694	1464	642
695	1466	640
696	1467	638
697	1469	635
698	1470	633
699	1472	631
700	1474	628
701	1475	626
702	1478	624
703	1479	622
704	1481	619
705	1483	617
706	1485	615
707	1486	613
708	1488	610
709	1490	608
710	1491	606
711	1494	604
712	1496	602
713	1498	600
714	1499	597
715	1501	595
716	1503	593
717	1504	591
718	1506	588
719	1508	586
720	1510	584
721	1512	582
722	1514	580
723	1516	578
724	1518	575
725	1519	573
726	1521	571
727	1523	569
728	1525	566
729	1526	564
730	1528	562
731	1530	560
732	1531	558
733	1533	555
734	1535	553
735	1537	551
736	1538	549
737	1540	547
738	1542	544
739	1544	542
740	1546	540
741	1547	538
742	1549	536
743	1551	533
744	1553	531
745	1554	529
746	1556	527
747	1558	525
748	1560	522
749	1561	520
750	1563	518
751	1565	516
752	1566	513
753	1568	511
754	1570	509
755	1572	507
756	1574	505
757	1575	503
758	1577	500
759	1579	498
760	1581	496
761	1582	494
762	1584	492
763	1586	489
764	1588	487
765	1590	485
766	1592	483
767	1594	481
768	1596	479
769	1597	477
770	1599	475
771	1601	473
772	1603	470
773	1605	468
774	1607	466
775	1609	464
776	1610	462
777	1612	460
778	1613	457
779	1615	455
780	1617	453
781	1619	451
782	1621	449
783	1623	447
784	1625	445
785	1626	442
786	1628	440
787	1629	438
788	1631	436
789	1633	434
790	1635	432
791	1637	429
792	1638	427
793	1640	425
794	1642	423
795	1643	421
796	1645	419
797	1647	417
798	1649	414
799	1650	412
800	1652	410
801	1654	408
802	1656	406
803	1657	404
804	1659	402
805	1661	399
806	1662	397
807	1664	395
808	1666	393
809	1668	391
810	1670	389
811	1671	387
812	1673	384
813	1675	382
814	1676	380
815	1678	378
816	1680	376
817	1681	374
818	1684	372
819	1686	370
820	1688	368
821	1689	365
822	1691	363
823	1693	361
824	1695	359
825	1696	357
826	1698	355
827	1701	353
828	1702	351
829	1704	349
830	1706	347
831	1708	344
832	1710	342
833	1711	340
834	1713	338
835	1715	336
836	1717	334
837	1719	332
838	1720	330
839	1722	328
840	1724	326
841	1726	323
842	1727	321
843	1729	319
844	1731	317
845	1733	315
846	1735	313
847	1736	311
848	1738	309
849	1740	307
850	1741	304
851	1743	302
852	1745	300
853	1747	298
854	1749	296
855	1751	294
856	1753	292
857	1754	290
858	1756	288
859	1758	286
860	1759	284
861	1761	282
862	1763	279
863	1765	277
864	1767	275
865	1769	273
866	1770	271
867	1772	269
868	1773	267
869	1775	265
870	1777	263
871	1779	261
872	1781	259
873	1783	257
874	1785	255
875	1787	252
876	1788	250
877	1790	248
878	1792	246
879	1794	244
880	1796	242
881	1798	240
882	1800	238
883	1801	236
884	1803	234
885	1805	232
886	1806	230
887	1808	228
888	1811	226
889	1813	224
890	1814	222
891	1816	219
892	1818	217
893	1820	215
894	1822	213
895	1824	211
896	1826	209
897	1828	207
898	1830	205
899	1832	203
900	1834	201
901	1835	199
902	1837	197
903	1839	195
904	1841	193
905	1843	191
906	1845	189
907	1847	187
908	1849	185
909	1851	183
910	1853	181
911	1855	178
912	1857	177
913	1859	174
914	1861	172
915	1863	170
916	1865	168
917	1867	166
918	1868	164
919	1870	162
920	1872	160
921	1875	158
922	1876	156
923	1878	154
924	1880	152
925	1882	150
926	1884	148
927	1885	146
928	1888	144
929	1890	142
930	1892	140
931	1894	138
932	1897	136
933	1899	134
934	1901	132
935	1903	130
936	1906	128
937	1908	126
938	1910	124
939	1913	122
940	1915	120
941	1917	118
942	1919	116
943	1922	114
944	1924	112
945	1926	109
946	1928	107
947	1931	105
948	1933	103
949	1935	101
950	1938	99
951	1940	97
952	1942	95
953	1944	93
954	1947	91
955	1949	89
956	1951	87
957	1954	85
958	1956	83
959	1958	81
960	1961	79
961	1963	77
962	1965	75
963	1967	73
964	1969	71
965	1971	69
966	1972	67
967	1974	65
968	1976	63
969	1978	61
970	1979	59
971	1981	57
972	1983	55
973	1985	52
974	1986	50
975	1988	48
976	1990	46
977	1991	44
978	1993	42
979	1995	40
980	1997	38
981	1998	36
982	2000	34
983	2002	32
984	2004	30
985	2006	28
986	2007	26
987	2009	24
988	2011	22
989	2012	20
990	2014	18
991	2016	16
992	2018	14
993	2019	12
994	2021	10
995	2022	8
996	2024	6
997	2026	4
998	2028	2
999	2029	0
